onerge_sahibi,il,count
ÖMER FARUK GERGERLİOĞLU,KOCAELİ,2363
MUSTAFA SEZGİN TANRIKULU,DİYARBAKIR,826
MAHMUT TANAL,ŞANLIURFA,560
YASİN ÖZTÜRK,DENİZLİ,539
ALİ KARAOBA,UŞAK,415
ÖMER FETHİ GÜRER,NİĞDE,400
SERHAT EREN,DİYARBAKIR,357
CEYLAN AKÇA CUPOLO,DİYARBAKIR,346
ÖZNUR BARTİN,HAKKARİ,339
İBRAHİM AKIN,İZMİR,301
SELÇUK ÖZDAĞ,MUĞLA,272
CEVDET AKAY,KARABÜK,221
NEVROZ UYSAL ASLAN,ŞIRNAK,214
İZZET AKBULUT,BURDUR,213
GÜLDEREN VARLİ,VAN,210
RAHMİ AŞKIN TÜRELİ,İZMİR,210
UĞUR BAYRAKTUTAN,ARTVİN,208
BERİTAN GÜNEŞ ALTIN,MARDİN,203
NERMİN YILDIRIM KARA,HATAY,200
AYKUT KAYA,ANTALYA,176
ALİYE TİMİSİ ERSEVER,ANKARA,175
SÜMEYYE BOZ ÇAKI,MUŞ,173
MEHMET EMİN EKMEN,MERSİN,173
MERAL DANIŞ BEŞTAŞ,ERZURUM,172
DENİZ YAVUZYILMAZ,ZONGULDAK,163
MEHMET SATUK BUĞRA KAVUNCU,İSTANBUL,159
ÖMER FARUK HÜLAKÜ,BİNGÖL,157
FERİT ŞENYAŞAR,ŞANLIURFA,154
MUSTAFA BİLİCİ,İZMİR,152
SEVDA KARACA DEMİR,GAZİANTEP,150
SÜLEYMAN BÜLBÜL,AYDIN,145
SALİHA SERA KADIGİL,İSTANBUL,141
MEHMET TAHTASIZ,ÇORUM,140
AYHAN BARUT,ADANA,139
İSKENDER BAYHAN,İSTANBUL,136
SELCAN TAŞCI,TEKİRDAĞ,135
ELVAN IŞIK GEZMİŞ,GİRESUN,128
AYTEN KORDU,TUNCELİ,127
İBRAHİM ARSLAN,ESKİŞEHİR,125
TURHAN ÇÖMEZ,BALIKESİR,125
YÜKSEL SELÇUK TÜRKOĞLU,BURSA,125
REŞAT KARAGÖZ,AMASYA,116
KAYIHAN PALA,BURSA,116
MURAT BAKAN,İZMİR,115
İNAN AKGÜN ALP,KARS,114
KÜRŞAD ZORLU,ANKARA,114
KAMURAN TANHAN,MARDİN,113
MELİH MERİÇ,GAZİANTEP,111
CEM AVŞAR,TEKİRDAĞ,110
LÜTFÜ TÜRKKAN,KOCAELİ,110
HÜSEYİN OLAN,BİTLİS,109
DOĞAN BEKİN,İSTANBUL,108
SEVDA ERDAN KILIÇ,İZMİR,108
ÖZGÜL SAKİ,İSTANBUL,108
ULAŞ KARASU,SİVAS,107
GÜLCAN KAÇMAZ SAYYİĞİT,VAN,105
PERİHAN KOCA DOĞAN,MERSİN,105
ÇİÇEK OTLU,İSTANBUL,105
ONUR DÜŞÜNMEZ,HAKKARİ,98
MAHMUT DİNDAR,VAN,98
HEVAL BOZDAĞ,AĞRI,97
ASU KAYA,OSMANİYE,97
HASAN ÖZTÜRKMEN,GAZİANTEP,96
MUSTAFA ADIGÜZEL,ORDU,92
ALİ YÜKSEL,KONYA,92
MEHMET ZEKİ İRMEZ,ŞIRNAK,91
GÜLÜSTAN KILIÇ KOÇYİĞİT,KARS,88
ELİF ESEN,İSTANBUL,87
TURAN TAŞKIN ÖZER,İSTANBUL,84
ADNAN ŞEFİK ÇİRKİN,HATAY,83
HİKMET YALIM HALICI,ISPARTA,82
HAKAN ŞEREF OLGUN,AFYONKARAHİSAR,82
ŞENOL SUNAT,MANİSA,81
CELAL FIRAT,İSTANBUL,81
NEJLA DEMİR,AĞRI,81
TÜRKER ATEŞ,BOLU,79
AYSU BANKOĞLU,BARTIN,79
NURHAYAT ALTACA KAYIŞOĞLU,BURSA,76
SABAHAT ERDOĞAN SARITAŞ,SİİRT,74
MUSTAFA BAKİ ERSOY,KAYSERİ,73
EYLEM ERTUĞ ERTUĞRUL,ZONGULDAK,73
AHMET BARAN YAZGAN,EDİRNE,73
İSMAİL ÖZDEMİR,KAYSERİ,73
EVRİM KARAKOZ,AYDIN,71
KEZİBAN KONUKCU KOK,İSTANBUL,70
ÖZGÜR KARABAT,İSTANBUL,70
DİLAN KUNT AYAN,ŞANLIURFA,70
VEZİR COŞKUN PARLAK,HAKKARİ,70
DENİZ DEMİR,ANKARA,69
TAHSİN BECAN,YALOVA,68
ZÜLKÜF UÇAR,VAN,68
SEDA KÂYA ÖSEN,İZMİR,68
NURTEN YONTAR,TEKİRDAĞ,67
ALİ BOZAN,MERSİN,65
BURHANETTİN KOCAMAZ,MERSİN,65
NİMET ÖZDEMİR,İSTANBUL,64
MUSTAFA SARIGÜL,ERZİNCAN,63
ALİ ÖZTUNÇ,KAHRAMANMARAŞ,62
SERKAN SARI,BALIKESİR,62
ORHAN SÜMER,ADANA,62
NECMETTİN ÇALIŞKAN,HATAY,62
ADALET KAYA,DİYARBAKIR,61
BEKİR BAŞEVİRGEN,MANİSA,61
SEMRA ÇAĞLAR GÖKALP,BİTLİS,60
AYLİN YAMAN,ANKARA,58
ALİYE COŞAR,ANTALYA,58
SUAT ÖZÇAĞDAŞ,İSTANBUL,58
MUSTAFA ERDEM,ANTALYA,57
RIFAT TURUNTAY NALBANTOĞLU,İZMİR,56
ZEYNEP ODUNCU KUTEVİ,BATMAN,56
AYŞE SİBEL YANIKÖMEROĞLU,İSTANBUL,55
GAMZE TAŞCIER,ANKARA,55
ÖZGÜR CEYLAN,ÇANAKKALE,54
ZEYNEL EMRE,İSTANBUL,54
BURCUGÜL ÇUBUK,İZMİR,53
ÖMER ÖCALAN,ŞANLIURFA,52
METİN ERGUN,MUĞLA,52
HÜSMEN KIRKPINAR,İZMİR,50
GÜLCAN KIŞ,MERSİN,50
İSA MESİH ŞAHİN,İSTANBUL,50
GAMZE AKKUŞ İLGEZDİ,İSTANBUL,49
MURAT EMİR,ANKARA,49
ADNAN BEKER,ANKARA,48
CENGİZ ÇİÇEK,İSTANBUL,47
AYŞEGÜL DOĞAN,ŞIRNAK,47
SİNAN ÇİFTYÜREK,VAN,47
GÖKHAN GÜNAYDIN,İSTANBUL,47
NAİL ÇİLER,KOCAELİ,46
FAHRİ ÖZKAN,KIRKLARELİ,46
İDRİS ŞAHİN,ANKARA,46
AYYÜCE TÜRKEŞ TAŞ,ADANA,46
TAMER OSMANAĞAOĞLU,İZMİR,46
SEVİLAY ÇELENK ÖZEN,DİYARBAKIR,44
HASAN KARAL,İSTANBUL,44
GÜRSEL EROL,ELAZIĞ,43
BARIŞ BEKTAŞ,KONYA,42
SALİHE AYDENİZ,MARDİN,42
ABDURRAHMAN TUTDERE,ADIYAMAN,42
AHMET ŞIK,İSTANBUL,41
AŞKIN GENÇ,KAYSERİ,41
YÜKSEL TAŞKIN,İZMİR,40
HAYDAR ALTINTAŞ,İZMİR,40
MÜZEYYEN ŞEVKİN,ADANA,40
SERVET MULLAOĞLU,HATAY,40
CAVİT ARI,ANTALYA,40
MEHMET KAMAÇ,DİYARBAKIR,39
HALİDE TÜRKOĞLU,DİYARBAKIR,39
ERHAN USTA,SAMSUN,39
ENGİN ALTAY,İSTANBUL,39
ŞEREF ARPACI,DENİZLİ,39
MEHMET SALİH UZUN,İZMİR,38
JALE NUR SÜLLÜ,ESKİŞEHİR,38
SÜREYYA ÖNEŞ DERİCİ,MUĞLA,37
ÖMER KARAKAŞ,AYDIN,37
MAHİR POLAT,İZMİR,37
YAVUZ AYDIN,TRABZON,36
İSMAİL AKGÜL,BOLU,36
YILMAZ HUN,IĞDIR,35
UMUT AKDOĞAN,ANKARA,34
SEZAİ TEMELLİ,MUŞ,34
UTKU ÇAKIRÖZER,ESKİŞEHİR,34
TULAY HATIMOĞULLARI ORUÇ,ADANA,34
TALAT DİNÇER,MERSİN,33
ŞERAFETTİN KILIÇ,ANTALYA,33
BURAK DALGIN,BALIKESİR,33
YÜKSEL ARSLAN,ANKARA,33
ÜMİT DİKBAYIR,SAKARYA,32
GEORGE ASLAN,MARDİN,32
İLHAMİ ÖZCAN AYGUN,TEKİRDAĞ,32
GÜLİZAR BİÇER KARACA,DENİZLİ,32
GİZEM ÖZCAN,MUĞLA,32
MUSTAFA YENEROĞLU,İSTANBUL,32
İSMAİL ATAKAN ÜNVER,KARAMAN,32
ALİ GÖKÇEK,İSTANBUL,31
MESUT DOĞAN,ANKARA,31
ÖZGÜR ERDEM İNCESU,ARDAHAN,31
CEMAL ENGİNYURT,İSTANBUL,29
EVRİM RIZVANOĞLU,İSTANBUL,29
MURAT ÇAN,SAMSUN,29
GÖKAN ZEYBEK,İSTANBUL,28
VECDİ GÜNDOĞDU,KIRKLARELİ,28
HASAN ÖZTÜRK,BURSA,28
SADULLAH KISACIK,ADANA,28
SURURİ ÇORABATIR,ANTALYA,27
AHMET EŞREF FAKIBABA,ANKARA,27
OKAN KONURALP,ANKARA,26
BURAK AKBURAK,İSTANBUL,26
YUNUS EMRE,İSTANBUL,26
SİBEL SUİÇMEZ,TRABZON,26
FETHİ AÇIKEL,İSTANBUL,25
CUMHUR UZUN,MUĞLA,25
SEMİH IŞIKVER,ELAZIĞ,24
BURHANETTİN BULUT,ADANA,24
EDİZ ÜN,EDİRNE,23
DOĞAN DEMİR,İSTANBUL,23
ÜNAL KARAMAN,KONYA,23
TURAN YALDIR,AKSARAY,22
SIRRI SAKİK,AĞRI,22
SEMRA DİNÇER,ANKARA,22
MEHMET RÜŞTÜ TİRYAKİ,BATMAN,22
MUSTAFA DEMİR,KİLİS,21
FAİK ÖZTRAK,TEKİRDAĞ,21
KADİM DURMAZ,TOKAT,21
NAMIK TAN,İSTANBUL,20
AHMET TUNCAY ÖZKAN,İZMİR,20
DENİZ YÜCEL,İZMİR,19
ERSİN BEYAZ,İSTANBUL,19
RIDVAN UZ,ÇANAKKALE,18
AHMET VEHBİ BAKIRLIOĞLU,MANİSA,18
MEHMET GÜZELMANSUR,HATAY,18
İSMET GÜNEŞHAN,ÇANAKKALE,18
OSMAN CENGİZ ÇANDAR,DİYARBAKIR,18
SERAP YAZICI ÖZBUDUN,ANTALYA,18
ATAY USLU,ANTALYA,18
GÖKÇE GÖKÇEN,İZMİR,17
MÜHİP KANKO,KOCAELİ,17
MEHMET MUSTAFA GÜRBAN,GAZİANTEP,17
TALİH ÖZCAN,DÜZCE,16
YÜKSEL MANSUR KILINÇ,İSTANBUL,15
UĞUR POYRAZ,ANTALYA,15
TAHSİN OCAKLI,RİZE,15
MEHMET AKALIN,EDİRNE,14
VELİ AĞBABA,MALATYA,14
ŞAHZADE DEMİR,GAZİANTEP,14
HARUN ÖZGÜR YILDIZLI,KOCAELİ,14
SELMA ALİYE KAVAF,MANİSA,14
ORHAN SARIBAL,BURSA,13
KORAY AYDIN,ANKARA,13
AYÇA TAŞKENT,SAKARYA,13
SEYİT TORUN,ORDU,13
BÜLENT TEZCAN,AYDIN,13
BİLAL BİLİCİ,ADANA,13
HASAN TOKTAŞ,BURSA,11
FARUK DİNÇ,MERSİN,11
ALİ FAZIL KASAP,KÜTAHYA,11
SADULLAH ERGİN,ANKARA,11
OĞUZ KAAN SALICI,İSTANBUL,11
BERDAN ÖZTÜRK,DİYARBAKIR,11
EDNAN ARSLAN,İZMİR,10
ZUHAL KARAKOÇ,KAHRAMANMARAŞ,10
LÜTFİ KAŞIKÇI,HATAY,10
BURCU KÖKSAL,AFYONKARAHİSAR,10
,,10
İBRAHİM ETHEM SEDEF,YOZGAT,9
MEVLÜT KARAKAYA,ANKARA,9
MEHMET ATMACA,BURSA,9
ALİ MAHİR BAŞARIR,MERSİN,8
TUNCER BAKIRHAN,SİİRT,8
TÜRKAN ELÇİ,İSTANBUL,7
KONUR ALP KOÇAK,KONYA,7
ERKAN BAŞ,İSTANBUL,7
CUMALİ İNCE,NİĞDE,7
MEHMET KARAMAN,SAMSUN,7
PERVİN BULDAN,VAN,7
CEMALETTİN KANİ TORUN,BURSA,6
MUSTAFA KAYA,İSTANBUL,6
METİN İLHAN,KIRŞEHİR,5
İRFAN KARATUTLU,KAHRAMANMARAŞ,5
SEMA SİLKİN ÜN,DENİZLİ,5
ERTUĞRUL KAYA,GAZİANTEP,5
SERKAN RAMANLI,BATMAN,4
ÇİĞDEM KILIÇGÜN UÇAR,İSTANBUL,4
MİTHAT SANCAR,ŞANLIURFA,4
HASAN BALTACI,KASTAMONU,4
HÜSEYİN YILDIZ,AYDIN,3
EKREM GÖKAY YÜKSEL,BALIKESİR,3
BİROL AYDIN,İSTANBUL,3
KESKİN BAYINDIR,BATMAN,3
HALİL ÖZTÜRK,KIRIKKALE,3
FİLİZ KILIÇ,NEVŞEHİR,3
İDRİS NEBİ HATİPOĞLU,ESKİŞEHİR,3
BÜLENT KAYA,İSTANBUL,2
ABDURRAHMAN BAŞKAN,ANTALYA,2
MEHMET ÖNDER AKSAKAL,İSTANBUL,2
NACİ ŞANLITÜRK,ORDU,2
HAKKI SARUHAN OLUÇ,ANTALYA,2
TEKİN BİNGÖL,ANKARA,2
HASAN EKİCİ,KONYA,2
İBRAHİM YURDUNUSEVEN,AFYONKARAHİSAR,2
OSMAN GÖKÇEK,ANKARA,2
YAŞAR TÜZÜN,BİLECİK,2
BARIŞ KARADENİZ,SİNOP,2
ENSAR AYTEKİN,BALIKESİR,2
LEVENT UYSAL,MERSİN,1
SERMET ATAY,GAZİANTEP,1
YÜCEL BULUT,TOKAT,1
ERTUĞRUL GAZİ KONAL,GİRESUN,1
ÖZGÜR ÖZEL,MANİSA,1
MEHMET SELİM ENSARİOĞLU,İSTANBUL,1
MEHMET AŞILA,KOCAELİ,1
İBRAHİM ETHEM TAŞ,ANTALYA,1
AHMET FETHAN BAYKOÇ,ANKARA,1
ABDURRAHİM FIRAT,ERZURUM,1
ERDOĞAN TOPRAK,İSTANBUL,1
LÜTFİYE SELVA ÇAM,ANKARA,1
MEHMET SAİT YAZ,DİYARBAKIR,1
DURSUN MÜSAVAT DERVİŞOĞLU,İZMİR,1
ASUMAN ERDOĞAN,ANKARA,1
DURSUN ATAŞ,KAYSERİ,1
HASAN BİTMEZ,KOCAELİ,1
MUSTAFA NEDİM YAMALI,ANKARA,1
